MasterFile,KABCO,County,RT_UNIQUE,Milepoint,Latitude,Longitude,MannerofCollision,CollisionDate,CollisionTime,CollisionYear,RdwyConditionCode,Weather,Human_Factors,Environmental_Factors,Vehicular_Factors,Mode
72584124,O,PIKE,098-CS-1222  -000,1.311,37.48487437,-82.52713931,OPPOSING LEFT TURN,20210113,1637,2021,DRY,CLEAR,INATTENTION,,,
72626851,C,PIKE,098-CS-1222  -000,1.368,37.48442087,-82.52801068,REAR END,20210514,724,2021,DRY,CLEAR,INATTENTION,,,
73236188,O,PIKE,098-CS-1222  -000,1.38,37.48430685,-82.52817858,ANGLE,20250814,2004,2025,DRY,CLEAR,,,,
73249990,O,PIKE,098-CS-1222  -000,1.418,37.48399137,-82.5287505,SINGLE VEHICLE,20251024,231,2025,DRY,CLEAR,INATTENTION,,,
73260068,C,PIKE,098-CS-1222  -000,1.431,37.48388775,-82.52894414,ANGLE,20251107,1718,2025,WET,RAINING,INATTENTION,,,
72602221,O,PIKE,098-CS-1222  -000,1.441,37.48380751,-82.52909573,SIDESWIPE-SAME DIRECTION,20210304,1752,2021,DRY,CLEAR,INATTENTION,,,
73071861,O,PIKE,098-CS-1222  -000,1.462,37.48363445,-82.52940428,SIDESWIPE-OPPOSITE DIRECTION,20240731,751,2024,DRY,CLEAR,INATTENTION,,,
72687783,O,PIKE,098-CS-1222  -000,1.506,37.48308605,-82.53049337,REAR END,20211025,1515,2021,WET,CLOUDY,INATTENTION,,,
72967539,O,PIKE,098-CS-1222  -000,1.528,37.48308009,-82.5303981,REAR END,20231102,1402,2023,DRY,CLEAR,INATTENTION,,,
72635039,O,PIKE,098-CS-1222  -000,1.632,37.48185038,-82.53268039,SIDESWIPE-SAME DIRECTION,20210611,932,2021,DRY,CLOUDY,INATTENTION,,,
72860108,O,PIKE,098-CS-1222  -000,1.64,37.48226486,-82.53239752,SINGLE VEHICLE,20230130,809,2023,WET,RAINING,,,,
72842574,O,PIKE,098-CS-1222  -000,1.641,37.48212079,-82.53243687,ANGLE,20221213,735,2022,DRY,FOG,INATTENTION,,,
73227202,O,PIKE,098-CS-1222  -000,1.674,37.48195978,-82.53265801,BACKING,20250902,1239,2025,DRY,CLEAR,INATTENTION,,,
72693246,O,PIKE,098-CS-1222  -000,1.675,37.48195471,-82.53266779,SINGLE VEHICLE,20211105,1859,2021,DRY,CLEAR,,,,
72593572,O,PIKE,098-CS-1222  -000,1.68,37.48197763,-82.53280698,SIDESWIPE-SAME DIRECTION,20210209,1047,2021,WET,CLOUDY,INATTENTION,,,
72979334,O,PIKE,098-CS-1222  -000,1.71,37.48171398,-82.53331518,ANGLE,20231129,1541,2023,DRY,CLEAR,INATTENTION,,,
73152143,O,PIKE,098-CS-1222  -000,1.71,37.48171326,-82.53331125,SINGLE VEHICLE,20250215,1757,2025,WET,RAINING,,,,
72810260,O,PIKE,098-CS-1222  -000,1.711,37.4816618,-82.53330776,ANGLE,20220919,1549,2022,DRY,CLEAR,INATTENTION,,,
73112880,C,PIKE,098-CS-1222  -000,1.711,37.48170225,-82.53324854,ANGLE,20241107,1101,2024,DRY,CLEAR,,,,
72592686,B,PIKE,098-CS-1222  -000,1.712,37.481688,-82.53329575,OPPOSING LEFT TURN,20210204,1340,2021,DRY,CLEAR,INATTENTION,,,
72688707,C,PIKE,098-CS-1222  -000,1.712,37.48167939,-82.5332887,ANGLE,20211026,737,2021,WET,RAINING,INATTENTION,,,
